"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Stephen Curry","Gol","G","35.1","56","34.7","31","13.6","281","0.915","494","0.579","639","0.427","0.614","0.656","29.4","6.1","6.3","0.9","0.4","3.2","35.5","35.7","41.8","12","123.4","112.1"
"2","De'Aaron Fox","Sac","G","25.3","73","33.4","30","12","440","0.78","965","0.583","366","0.325","0.557","0.599","25","4.2","6.1","1.1","0.3","2.5","29.2","31.1","35.3","10.3","119.2","112.2"
"3","Klay Thompson","Gol","G","33.2","69","33","26.4","8.9","132","0.879","521","0.47","731","0.412","0.556","0.576","21.9","4.1","2.4","0.7","0.4","1.8","26","24.2","28.4","7.3","109.6","114.2"
"4","Jordan Poole","Gol","G","23.8","82","30","29.2","16.5","415","0.87","641","0.524","637","0.336","0.514","0.573","20.4","2.7","4.5","0.8","0.3","3.1","23.2","24.9","27.7","8.4","109.1","111.5"
"5","Domantas Sabonis","Sac","F-C","26.9","79","34.6","21.3","19.7","438","0.742","855","0.639","83","0.373","0.632","0.668","19.1","12.3","7.3","0.8","0.5","2.9","31.4","26.4","38.7","13.8","132.5","105.7"
"6","Andrew Wiggins","Gol","F","28.1","37","32.2","21.4","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.9","109.6"
"7","Kevin Huerter","Sac","G-F","24.6","75","29.4","19.9","10.1","131","0.725","356","0.604","510","0.402","0.603","0.617","15.2","3.3","2.9","1.1","0.3","1.3","18.5","18.1","21.5","7.2","119.5","111.2"
"8","Harrison Barnes","Sac","F","30.9","82","32.5","17.1","9.8","413","0.847","439","0.551","353","0.374","0.556","0.632","15","4.5","1.6","0.7","0.1","1","19.5","16.6","21","5.9","126.8","116.5"
"9","Malik Monk","Sac","G","25.2","77","22.3","25.8","15.5","207","0.889","398","0.538","398","0.359","0.538","0.587","13.5","2.6","3.9","0.6","0.3","1.9","16.2","17.4","20","9.2","113.9","112.6"
"10","Keegan Murray","Sac","F","22.6","80","29.8","15.8","7.1","81","0.765","281","0.527","501","0.411","0.584","0.597","12.2","4.6","1.2","0.8","0.5","0.8","16.8","13.4","18.1","5.5","118.8","112.8"
