Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,De'Aaron Fox,25,2,2,76,0.552,0.52,1.3,8.3,4.5,30.8,4.3,1.5,8.2,31.5,119,109,23.5
2,Malik Monk,24,2,0,60,0.696,0.589,3.4,14.3,8.5,12.5,0,1.9,7.7,25.4,143,117,19.2
3,Domantas Sabonis,26,2,2,75,0.499,0.448,12.4,25.4,18.4,11.4,1.9,0,16.3,22.7,104,111,13.3
4,Harrison Barnes,30,2,2,70,0.48,0.438,10.2,10.3,10.2,5.6,4,0,0,15.2,122,110,13.4
5,Kevin Huerter,24,2,2,61,0.391,0.385,0,19.8,9.2,4,0.8,5.7,6.9,18.8,83,112,4.4
6,Davion Mitchell,24,2,0,50,0.612,0.577,2.2,4.8,3.4,17.8,2.8,2.4,12.6,12.6,127,112,8.1
7,Trey Lyles,27,2,0,33,0.8,0.8,9.4,25.7,16.9,8.8,0,0,16.7,14.4,137,116,6.3
8,Alex Len,29,2,0,21,1,1,14.4,27,20.2,0,0,11.1,50,14.9,95,111,2.7
9,Keegan Murray,22,2,2,32,0.291,0.167,9.5,15,12,3.6,1.5,0,12.7,9.6,87,115,1.3
10,Terence Davis,25,1,0,2,,,0,0,0,0,0,0,100,23.3,0,116,-1
11,Kessler Edwards,22,1,0,0,,,0,0,0,0,0,0,,0,,116,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
