Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,TOV,PF,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,De'Aaron Fox,25,4,4,154,46,103,13,38,21,30,12,13,0.447,0.342,0.7,38.5,31.5,6,7,2.5,0.3
2,Malik Monk,24,4,0,113,20,51,7,20,23,24,6,7,0.392,0.35,0.958,28.3,17.5,4.3,3.5,0.5,0.3
3,Domantas Sabonis,26,4,4,146,27,56,0,2,11,18,15,13,0.482,0,0.611,36.6,16.3,12,4.5,1.5,0.5
4,Harrison Barnes,30,4,4,135,19,45,5,20,9,13,0,4,0.422,0.25,0.692,33.8,13,4.3,1,1.5,0
5,Kevin Huerter,24,4,4,109,16,42,3,21,1,2,3,13,0.381,0.143,0.5,27.3,9,4.3,1.5,0.5,1.3
6,Davion Mitchell,24,4,0,96,13,27,5,15,3,3,4,6,0.481,0.333,1,24,8.5,1.3,2.3,1,0.3
7,Keegan Murray,22,4,4,87,12,26,6,15,3,4,2,12,0.462,0.4,0.75,21.7,8.3,4.8,0.5,0.5,0.3
8,Trey Lyles,27,4,0,57,8,21,5,15,2,3,2,8,0.381,0.333,0.667,14.3,5.8,4.8,1,0,0
9,Alex Len,29,4,0,40,6,7,0,0,4,4,6,13,0.857,,1,9.9,4,4,0,0,0.8
10,Terence Davis,25,2,0,13,1,4,1,4,0,0,1,2,0.25,0.25,,6.3,1.5,2,0.5,0,0
11,PJ Dozier,26,1,0,3,1,2,1,2,0,0,0,0,0.5,0.5,,3,3,2,0,0,0
12,Chimezie Metu,25,1,0,3,0,0,0,0,1,1,1,0,,,1,3,1,0,0,0,0
13,Kessler Edwards,22,3,0,4,0,0,0,0,0,0,0,0,,,,1.2,0,0,0,0,0
