Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,TOV,PF,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Stephen Curry,34,4,4,158,43,88,20,50,20,21,12,12,0.489,0.4,0.952,39.5,31.5,5,3.8,0.8,0.5
2,Klay Thompson,32,4,4,148,29,62,17,43,6,6,7,5,0.468,0.395,1,37.1,20.3,4.5,3.3,1,0.3
3,Andrew Wiggins,27,4,3,139,31,63,7,24,8,12,7,14,0.492,0.292,0.667,34.8,19.3,5.8,1.8,0.8,2.3
4,Jordan Poole,23,4,2,91,17,45,5,21,20,23,5,7,0.378,0.238,0.87,22.8,14.8,2.8,3,1.3,0.3
5,Kevon Looney,26,4,4,118,11,20,0,0,4,6,5,15,0.55,,0.667,29.5,6.5,12.5,4.5,0.8,0.8
6,Draymond Green,32,3,2,96,7,25,1,5,9,10,9,12,0.28,0.2,0.9,31.9,8,7.7,7.7,1.3,0.7
7,Gary Payton II,30,3,0,54,10,16,2,6,1,2,4,3,0.625,0.333,0.5,18.1,7.7,3.3,0.7,1.3,0
8,Moses Moody,20,3,0,30,7,11,3,7,3,3,0,6,0.636,0.429,1,9.9,6.7,2.7,0.3,0,0
9,Donte DiVincenzo,26,4,1,75,6,16,4,11,3,4,5,7,0.375,0.364,0.75,18.8,4.8,3.5,4.3,1.3,0
10,Jonathan Kuminga,20,4,0,30,6,13,0,4,2,5,2,4,0.462,0,0.4,7.4,3.5,1,0.5,0.5,0
11,Patrick Baldwin Jr.,20,1,0,3,0,0,0,0,0,0,0,0,,,,2.5,0,1,0,0,0
12,JaMychal Green,32,2,0,11,0,2,0,2,0,0,0,4,0,0,,5.5,0,1.5,0.5,0,0.5
13,Anthony Lamb,25,1,0,7,0,1,0,1,0,0,1,0,0,0,,7.1,0,0,0,0,1
